Q1,Q2,Q3,Q4
25,50,3,3
50,50,2,3
55,55,2,3
35,40,3,2
55,50,2,3
30,45,2,3
40,50,3,2
30,60,2,3
60,45,2,3
45,50,3,2
35,55,2,3
30,50,2,3
40,45,3,2
25,45,2,3
45,50,3,3
25,50,3,2
50,60,2,3
55,45,2,3
25,40,3,2
50,45,2,3
35,45,3,3
30,50,2,3
50,55,2,3
30,45,3,2
45,55,3,2
