Q1,Q2,Q3,Q4
45,75,3,5
40,75,4,3
50,70,2,5
40,80,3,2
55,75,2,5
50,70,4,3
55,70,2,5
45,75,3,3
60,75,2,5
45,75,4,3
45,80,3,5
45,75,2,4
55,75,3,3
40,70,4,4
50,70,2,4
50,75,3,4
55,70,3,5
40,80,2,4
50,70,4,3
55,75,3,5
45,75,2,4
60,75,3,5
40,75,2,4
45,75,4,5
45,80,3,4
